Code,Model Info
B3-04-02-S,Samsung Tab A 10.5(2018)
B3-04-03-S,Samsung Tab A 10.1(2019)
B3-04-04-S,Samsung Tab A 8.4(2020)
B3-04-05-S,Samsung Tab A7 10.4(2020)
B3-04-06-S,Samsung Tab A7 Lite
B4-04-01-S,Samsung Tab A8 10.5(2021)
B3-05-01-S,Samsung Tab S5E
B3-05-02-S,Samsung Tab S6 Lite
B3-05-03-S,Samsung Tab S6 Lite 2022
B3-05-04-S,Samsung Tab S7+
B3-05-05-S,Samsung Tab S7
B3-05-06-S,Samsung Tab S7 FE
B4-05-01-S,Samsung Tab S8
B3-06-01-S,Samsung Tab S8+
B3-06-02-S,Samsung Tab S8U
B2-11-02-S,Google Pixel 6
B2-13-02-S,Google Pixel 6P
B2-09-02-S,Z Flip 3
B2-10-02-S,Z Flip 3
A5-04-03-S,38mm
A5-05-05-S,41mm
A5-04-06-S,44mm
B3-06-03-S,Google Pixel 6P
B4-04-03-S,Google pixel 6
B4-01-02-S,iPadP 12.9/11 inch
B4-05-02-A-S,iP12PM 
B4-05-02-B-S,Apple Watch 42mm
B4-06-02-S,Fitbit versa 
B4-05-03-S,iP13m
A5-06-05-S,N20
A5-06-06-S,S23U
E2-03-05-S,XS/X/11P
E2-03-02-S,XSMAX/11PM
E2-04-05-S,12PM
E2-04-04-S,12m
E2-04-02-S,13PM/14+
E2-03-04-S,13m
E2-03-03-S,14P
E2-04-03-S,14PM
E1-05-01-S,15+/15PM/16+
E1-06-01-S,15/15P/16
E2-03-07-S,16P
E2-04-07-S,16PM
E2-06-06-S,8+
E2-05-06-S,XS/X/11P
E2-06-05-S,XSMAX/11PM
E2-06-04-S,12/12P
E2-05-05-S,12PM
E2-05-04-S,12m
E2-06-01-S,13/13P/14
E2-05-02-S,13PM/14+
E2-06-03-S,13m
E2-06-02-S,14P
E2-05-03-S,14PM
E2-02-10-S,8/SE2/SE3
E2-02-08-S,XS/X/11P
E2-01-08-S,XR/11
E2-01-10-S,XSMAX/11PM
E2-01-06-S,12/12P
E2-02-06-S,12PM
E2-02-04-S,12m
E2-01-04-S,13PM/14+
E2-01-02-S,14P
E2-02-02-S,14PM
E1-03-01-S,15+/15PM/16+
E1-04-01-S,15/15P/16
E2-02-11-S,8/SE2/SE3
E2-02-09-S,XS/X/11P
E2-01-09-S,XR/11
E2-01-11-S,XSMAX/11PM
E2-01-07-S,12/12P
E2-02-07-S,12PM
E2-02-05-S,12m
E2-01-05-S,13PM/14+
E2-01-03 -S,14P
E2-02-03 -S,14PM
E1-02-05-A-S,S22
E1-02-06-A-S,S22+
E1-02-04-A-S,S21 fe 
E1-02-05-B-S,S22
E1-02-06-B-S,S22+
E1-02-03-B-S,S21U
E1-02-04-B-S,S21 fe 
E1-02-01-S,iPad mini 1/2/3
E1-03-02-S,iPad mini 6
